labid,age,error,depth,cc
Core top,-45,1,1020,0
Salsola rise,70,10,1050,0
CAMS-41153,570,40,1097,1
CAMS-105787,125,40,1120,1
CAMS-38080,1380,90,1141,1
CAMS-41154,680,50,1161,1
CAMS-38081,720,60,1210,1
CAMS-38082,870,60,1246,1
CAMS-41155,1250,50,1292,1
CAMS-32010,960,50,1316.5,1
CAMS-38083,1240,70,1358,1
CAMS-38084,1480,70,1394.7,1
CAMS-38085,1770,50,1457.5,1
CAMS-32009,1960,70,1509.5,1
CAMS-38087,2080,50,1542,1
CAMS-105837,2320,40,1590,1
CAMS-57143,2580,40,1689,1
CAMS-57144,2510,50,1725.5,1
CAMS-57145,2880,50,1768,1
CAMS-105838,3195,35,1871,1
CAMS-113569,3425,35,1908,1
CAMS-113570,3480,35,1932,1
CAMS-113571,3820,35,2008,1
CAMS-105788,4200,45,2059,1
CAMS-113572,4765,35,2126,1
CAMS-113573,4860,35,2152,1
CAMS-113574,5305,35,2180,1
CAMS-105839,5900,35,2258,1
CAMS-105840,5950,35,2259,1
CAMS-113575,5005,35,2274.5,1
CAMS-113576,6275,40,2322,1
CAMS-116252,6365,40,2351,1
CAMS-116254,6720,35,2382,1
CAMS-116255,6900,35,2406,1
CAMS-105841,7035,40,2426,1
CAMS-57140,7120,40,2438.6,1
CAMS-57141,7410,50,2466.6,1
CAMS-57142,7770,50,2490.9,1
CAMS-105790,8280,40,2543,1
CAMS-105791,8305,40,2559,1
CAMS-113583,8805,40,2595,1
CAMS-113584,9295,35,2679,1
CAMS-113585,9530,35,2698,1
CAMS-105792,9685,40,2725,1
CAMS-25277,11080,80,2786,1
CAMS-105793,10720,45,2787,1
CAMS-113588,11030,40,2849.5,1
